urn,title,company,location,link
4212174993,Government Data Scientist,Zendr,"Virginia, United States",https://www.linkedin.com/jobs/view/government-data-scientist-at-zendr-4212174993
4205467359,Data Scientist,KellyMitchell Group,"Irving, TX",https://www.linkedin.com/jobs/view/data-scientist-at-kellymitchell-group-4205467359
4215380724,ML Research Scientist,Seer,"New York, United States",https://www.linkedin.com/jobs/view/ml-research-scientist-at-seer-4215380724
4212837469,"Data Scientist III, Product, Operations Data Science",Google,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-scientist-iii-product-operations-data-science-at-google-4212837469
4115550653,"Data Scientist, People Analytics",Adobe,"San Jose, CA",https://www.linkedin.com/jobs/view/data-scientist-people-analytics-at-adobe-4115550653
4213652892,Data Scientist,Insight Global,United States,https://www.linkedin.com/jobs/view/data-scientist-at-insight-global-4213652892
4208331605,Machine Learning - Data Scientist,Acceler8 Talent,United States,https://www.linkedin.com/jobs/view/machine-learning-data-scientist-at-acceler8-talent-4208331605
4205222630,Machine Learning Engineer,Lumicity,San Francisco Bay Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-lumicity-4205222630
4215106144,Machine Learning Engineer with Generative AI,PETADATA,"Las Vegas, NV",https://www.linkedin.com/jobs/view/machine-learning-engineer-with-generative-ai-at-petadata-4215106144
4208334377,Research Associate Data Scientist,Gandhi Centre for Inclusive Innovation,"Only, TN",https://www.linkedin.com/jobs/view/research-associate-data-scientist-at-gandhi-centre-for-inclusive-innovation-4208334377
4207068810,"Data Scientist, Analytics - Trust & Safety - San Jose",TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/data-scientist-analytics-trust-safety-san-jose-at-tiktok-4207068810
4214829584,Machine Learning Engineer,Tanoshii,San Francisco Bay Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-tanoshii-4214829584
4211114796,Data Scientist,Hirextra -World's First Staffing Aggregator,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-hirextra-world-s-first-staffing-aggregator-4211114796
4212818601,Associate Data Scientist,TechWish,"Vienna, VA",https://www.linkedin.com/jobs/view/associate-data-scientist-at-techwish-4212818601
4214366250,Analytical Data Scientist,Genentech,"South San Francisco, CA",https://www.linkedin.com/jobs/view/analytical-data-scientist-at-genentech-4214366250
4204757689,Data Scientist - Manufacturing,Weyerhaeuser,"Seattle, WA",https://www.linkedin.com/jobs/view/data-scientist-manufacturing-at-weyerhaeuser-4204757689
4212525409,Data Scientist,Verizon,"Basking Ridge, NJ",https://www.linkedin.com/jobs/view/data-scientist-at-verizon-4212525409
4212519874,Data Scientist,Verizon,"Irving, TX",https://www.linkedin.com/jobs/view/data-scientist-at-verizon-4212519874
4216741690,Machine Learning Data Scientist,Norgate Technology,United States,https://www.linkedin.com/jobs/view/machine-learning-data-scientist-at-norgate-technology-4216741690
4207692316,Data Scientist,Danta Technologies,"Irving, TX",https://www.linkedin.com/jobs/view/data-scientist-at-danta-technologies-4207692316
4206622407,Machine Learning Engineer,dynamism vc,San Francisco Bay Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-dynamism-vc-4206622407
4208819351,Data Scientist,Tacoma Public Utilities,"Tacoma, WA",https://www.linkedin.com/jobs/view/data-scientist-at-tacoma-public-utilities-4208819351
4215121567,Data Scientist I - ML,Cotiviti,United States,https://www.linkedin.com/jobs/view/data-scientist-i-ml-at-cotiviti-4215121567
4206882446,"Senior Data Scientist, Research",Google,"New York, NY",https://www.linkedin.com/jobs/view/senior-data-scientist-research-at-google-4206882446
4205960402,"Principal, Data Scientist/Economist - Workforce Intelligence & Insights",Walmart,"Bentonville, AR",https://www.linkedin.com/jobs/view/principal-data-scientist-economist-workforce-intelligence-insights-at-walmart-4205960402
4216003885,AI Systems and ML Scientist,Sanofi,"Framingham, MA",https://www.linkedin.com/jobs/view/ai-systems-and-ml-scientist-at-sanofi-4216003885
4206567202,Data Scientist,HireMinds,"Portland, Maine Metropolitan Area",https://www.linkedin.com/jobs/view/data-scientist-at-hireminds-4206567202
4215943082,Senior Data Scientist,XOi,United States,https://www.linkedin.com/jobs/view/senior-data-scientist-at-xoi-4215943082
4211684121,Data Scientist,Johnson & Johnson MedTech,"Santa Clara, CA",https://www.linkedin.com/jobs/view/data-scientist-at-johnson-johnson-medtech-4211684121
4207708801,"Senior Scientist, Translational Research",Bristol Myers Squibb,"Cambridge, MA",https://www.linkedin.com/jobs/view/senior-scientist-translational-research-at-bristol-myers-squibb-4207708801
4204410371,Data Scientist,Infosys,"Alpharetta, GA",https://www.linkedin.com/jobs/view/data-scientist-at-infosys-4204410371
4210878859,Machine Learning Engineer,Pacer Staffing,"Washington, DC",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-pacer-staffing-4210878859
4204584433,Data Scientist,Tata Consultancy Services,"Rosemead, CA",https://www.linkedin.com/jobs/view/data-scientist-at-tata-consultancy-services-4204584433
4211059086,Data Scientist - Recommendation Algorithms,Stitch Fix,United States,https://www.linkedin.com/jobs/view/data-scientist-recommendation-algorithms-at-stitch-fix-4211059086
4203180360,Data Scientist,Malin,"Addison, TX",https://www.linkedin.com/jobs/view/data-scientist-at-malin-4203180360
4202011147,Machine Learning Researcher,Discover International,"New York, NY",https://www.linkedin.com/jobs/view/machine-learning-researcher-at-discover-international-4202011147
4205229821,Data Scientist,RightClick,"Fairfield County, CT",https://www.linkedin.com/jobs/view/data-scientist-at-rightclick-4205229821
4215901664,Machine Learning Scientist,"Coalition, Inc.",United States,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-coalition-inc-4215901664
4208830320,Principal Data Scientist,Slack,"New York, NY",https://www.linkedin.com/jobs/view/principal-data-scientist-at-slack-4208830320
4216736265,Data Scientist,Recru,"Houston, TX",https://www.linkedin.com/jobs/view/data-scientist-at-recru-4216736265
4210316402,Data Scientist,Jenn Nguyen and Friends,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-jenn-nguyen-and-friends-4210316402
4217605109,Data Science Specialist,Techgene Solutions,"Texas, United States",https://www.linkedin.com/jobs/view/data-science-specialist-at-techgene-solutions-4217605109
4217996867,Data Science Analyst,Discover Financial Services,"Riverwoods, IL",https://www.linkedin.com/jobs/view/data-science-analyst-at-discover-financial-services-4217996867
4210156840,Machine Learning Engineer,mbue,"Austin, Texas Metropolitan Area",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-mbue-4210156840
4213898843,Senior Data Scientist (AdTech),Nexxen,"California, United States",https://www.linkedin.com/jobs/view/senior-data-scientist-adtech-at-nexxen-4213898843
4203857849,Machine Learning Engineer - Generative AI,Qualcomm,"San Diego, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-generative-ai-at-qualcomm-4203857849
4210610008,Machine Learning Engineer,OMW Consulting,Washington DC-Baltimore Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-omw-consulting-4210610008
4212867885,Data Scientist,Zip,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-zip-4212867885
4208158463,"AI Research Scientist, Language - Reality Labs",Meta,"New York, NY",https://www.linkedin.com/jobs/view/ai-research-scientist-language-reality-labs-at-meta-4208158463
4209124157,Data Scientist,"VMC Soft Technologies, Inc","Cupertino, CA",https://www.linkedin.com/jobs/view/data-scientist-at-vmc-soft-technologies-inc-4209124157
4211046316,Data Scientist,"Cintal, Inc.",Peoria Metropolitan Area,https://www.linkedin.com/jobs/view/data-scientist-at-cintal-inc-4211046316
4215932649,"Senior Machine Learning Engineer, Full-time, Days",Northwestern Medicine,"Chicago, IL",https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-full-time-days-at-northwestern-medicine-4215932649
4210940507,Data Scientist,McKesson,"Richmond, VA",https://www.linkedin.com/jobs/view/data-scientist-at-mckesson-4210940507
4211124542,Senior Staff Data Scientist - Experimentation Platform,LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/senior-staff-data-scientist-experimentation-platform-at-linkedin-4211124542
4209165812,Machine Learning Engineer - Remote (Healthcare focused),WVU Medicine,"Core, WV",https://www.linkedin.com/jobs/view/machine-learning-engineer-remote-healthcare-focused-at-wvu-medicine-4209165812
4209799580,Data Scientist,Plasmidsaurus,"South San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-plasmidsaurus-4209799580
4212518333,Senior Data Scientist,STI-TEC,"Arlington, VA",https://www.linkedin.com/jobs/view/senior-data-scientist-at-sti-tec-4212518333
4218626584,Machine Learning Scientist,Strativ Group,United States,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-strativ-group-4218626584
4204732569,Research Scientist,Zoom,"San Jose, CA",https://www.linkedin.com/jobs/view/research-scientist-at-zoom-4204732569
4210046039,Machine Learning Engineer,PayPal,"San Jose, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-paypal-4210046039
4211397876,Product Data Scientist,Synechron,"Jersey City, NJ",https://www.linkedin.com/jobs/view/product-data-scientist-at-synechron-4211397876
4208512764,Data Scientist II AI/ML(remote),Claritev,"Bedford, MA",https://www.linkedin.com/jobs/view/data-scientist-ii-ai-ml-remote-at-claritev-4208512764
4215382493,Machine Learning Researchers (Open-Endedness) - Open Level,Lila Sciences,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-researchers-open-endedness-open-level-at-lila-sciences-4215382493
4214191719,"Data Scientist, Customer Analytics & VoC",Adobe,"San Jose, CA",https://www.linkedin.com/jobs/view/data-scientist-customer-analytics-voc-at-adobe-4214191719
4211491155,Research Scientist,FAR.AI,United States,https://www.linkedin.com/jobs/view/research-scientist-at-far-ai-4211491155
4218648217,"Data Scientist, Associate",Texas Children's Hospital,"Houston, TX",https://www.linkedin.com/jobs/view/data-scientist-associate-at-texas-children-s-hospital-4218648217
4204245947,"Data Scientist, FinOps - Global Data Analytics",Amazon,"Arlington, VA",https://www.linkedin.com/jobs/view/data-scientist-finops-global-data-analytics-at-amazon-4204245947
4209782330,Machine Learning Model Engineer,Samsung Ads,"Mountain View, CA",https://www.linkedin.com/jobs/view/machine-learning-model-engineer-at-samsung-ads-4209782330
4208080652,Machine Learning Engineer,Insight Global,United States,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-insight-global-4208080652
4213132751,"Data Scientist, Product Analytics - Retail Analytics",Meta,"Burlingame, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-retail-analytics-at-meta-4213132751
4217451832,Genomic Data Scientist,Bionano,United States,https://www.linkedin.com/jobs/view/genomic-data-scientist-at-bionano-4217451832
4212086979,Data Scientist (Remote),Progressive Leasing,United States,https://www.linkedin.com/jobs/view/data-scientist-remote-at-progressive-leasing-4212086979
4211082457,Data Scientist Level 2,BTS,"Columbia, MD",https://www.linkedin.com/jobs/view/data-scientist-level-2-at-bts-4211082457
4215011871,DoN Senior Data Scientist,"ELS, Inc.","Washington, DC",https://www.linkedin.com/jobs/view/don-senior-data-scientist-at-els-inc-4215011871
4205223861,Machine Learning Engineer,Acceler8 Talent,"Palo Alto, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-acceler8-talent-4205223861
4212531323,Data Scientist,Utah Transit Authority,"Salt Lake City, UT",https://www.linkedin.com/jobs/view/data-scientist-at-utah-transit-authority-4212531323
4209919537,Data Scientist - II,Socure,United States,https://www.linkedin.com/jobs/view/data-scientist-ii-at-socure-4209919537
4215382494,Machine Learning Engineers - Open Level,Lila Sciences,"Cambridge, MA",https://www.linkedin.com/jobs/view/machine-learning-engineers-open-level-at-lila-sciences-4215382494
4215371651,Data Scientist,L.E.K. Consulting,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-at-l-e-k-consulting-4215371651
